0开课系,1课程号,2课程名,3课序号,4学分,5考试类型,6教师,7周次,8星期,9节次,10校区,11教学楼,12教室,课容量,课余量
教务处,00L001H,饮食的科学与文化,01,1.0,考查,李里特* ,5-12周上,6,2,主校区,思源楼,SY106,140,140
团委,00L002H,戏剧表演艺术,01,1.0,考查,郝戎* ,6-13周上,4,6,主校区,第九教学楼,中心报告厅,400,400
团委,00L003H,艺术美学,01,1.0,考查,宋瑾* ,5-12周上,6,2,主校区,第九教学楼,中心报告厅,400,400
团委,00L004H,交响乐艺术,01,1.0,考查,卞祖善* ,5-12周上,6,4,主校区,第九教学楼,中心报告厅,400,400
心理咨询中心,00L005H,大学生心理学,01,1.0,考查,蔺桂瑞* ,5-12周上,1,6,主校区,思源楼,SY109,140,140
教务处,00L006H,插花艺术与花艺赏析,01,1.0,考查,冯珞* ,5-8周上,6,4,主校区,思源楼,SY308,140,140
选培办,00L009T,军事思想,01,2.0,考试,选培办* ,1-8周,7,6,主校区,第九教学楼,中101,190,190
心理咨询中心,00L017T,成功之道――前途及领袖发展课程,01,2.0,考试,张华伦* ,1-16周,2,4,主校区,思源楼,SY109,150,26
心理咨询中心,00L021T,大学生健康教育,01,2.0,考试,李海红* ,"3,16周上",1,6,主校区,第九教学楼,中101,250,0
心理咨询中心,00L021T,大学生健康教育,02,2.0,考试,李海红* ,"3,16周上",2,6,主校区,第九教学楼,中101,250,0
心理咨询中心,00L021T,大学生健康教育,03,2.0,考试,李海红* ,"3,16周上",4,6,主校区,第九教学楼,中101,250,0
心理咨询中心,00L021T,大学生健康教育,04,2.0,考试,李海红* ,"3,16周上",5,6,主校区,第九教学楼,中101,250,0
心理咨询中心,00L032T,大学生心理学,01,1.5,考试,田宝伟* ,1-12周上,1,1,主校区,逸夫教学楼,YF310,120,120
心理咨询中心,00L032T,大学生心理学,02,1.5,考试,田宝伟* ,1-12周上,1,2,主校区,逸夫教学楼,YF310,120,120
心理咨询中心,00L032T,大学生心理学,03,1.5,考试,田宝伟* ,1-12周上,3,1,主校区,逸夫教学楼,YF310,120,120
心理咨询中心,00L032T,大学生心理学,04,1.5,考试,牛勇* ,1-12周上,1,1,主校区,思源楼,SY207,120,120
心理咨询中心,00L032T,大学生心理学,05,1.5,考试,牛勇* ,1-12周上,1,4,东校区,东教一楼,DQ408,120,120
